INLINE ClassSkillTable,Skill
0x00 Separator/Nothing,0x0
0x01 Lord,0x0
0x02 Knight Lord (Seliph),CantoPlusID
0x03 Knight Lord (Sigurd),CantoPlusID
0x04 Prince,0x0
0x05 Princess,0x0
0x06 Master Knight (M),CantoPlusID
0x07 Master Knight (F),CantoPlusID
0x08 Myrmidon (M),PursuitID
0x09 Myrmidon (F),PursuitID
0x0A Mercenary (M),PursuitID
0x0B Mercenary (F),PursuitID
0x0C Swordmaster (M),PursuitID
0x0D Swordmaster (F),PursuitID
0x0E Hero (M),PursuitID
0x0D Hero (F),PursuitID
0x10 Thief (M),StealID
0x11 Thief (F),StealID
0x12 Rogue (M),StealID
0x13 Rogue (F),StealID
0x14 Assassin (M),StealID
0x15 Assassin (F),StealID
0x16 Dancer,DanceID
0x17 Fighter,0x0
0x18 Warrior (M),0x0
0x19 Warrior (F),0x0
0x1A Hunter,0x0
0x1B Barbarian,0x0
0x1C Brigand (M),0x0
0x1D Brigand (F),0x0
0x1E Pirate (M),0x0
0x1F Pirate (F),0x0
0x20 Berserker (M),CritUpID
0x21 Berserker (F),CritUpID
0x22 Archer (M),PursuitID
0x23 Archer (F),PursuitID
0x24 Sniper (M),PursuitID
0x25 Sniper (F),PursuitID
0x26 Adventurer (M),PursuitID
0x27 Adventurer (F),PursuitID
0x28 Freeblade,0x0
0x29 Soldier,0x0
0x2A Halberdier,CritUpID
0x2B Cavalier,CantoPlusID
0x2C Paladin (M),CantoPlusID
0x2D Holy Knight,CantoPlusID
0x2E Troubadour,CantoPlusID
0x2F Walkyrie,CantoPlusID
0x30 Paladin (F),CantoPlusID
0x31 Free Knight,CantoPlusID
0x32 Ranger,CantoPlusID
0x33 Wanderer,CantoPlusID
0x34 DON'T TOUCH THIS,0x0
0x35 Lance Knight,CantoPlusID
0x36 Duke Knight,CantoPlusID
0x37 Axe Knight,CantoPlusID
0x38 Great Knight,CantoPlusID
0x39 Bow Knight (M),CantoPlusID
0x3A Bow Knight (F),CantoPlusID
0x3B Arch Knight,CantoPlusID
0x3C Black Knight,CantoPlusID
0x3D Sword Armour,0x0
0x3E Lance Armour,0x0
0x3F Axe Armour,0x0
0x40 Bow Armour,0x0
0x41 Protector,0x0
0x42 Sentry,0x0
0x43 General,PaviseID
0x44 Guardian,AegisID
0x45 Pegasus Knight,CantoPlusID
0x46 Falcon Knight,CantoPlusID
0x47 Harrier,CantoPlusID
0x48 Wyvern Rider (M),CantoPlusID
0x49 Wyvern Rider (F),CantoPlusID
0x4A Wyvern Knight (M),CantoPlusID
0x4B Wyvern Knight (F),CantoPlusID
0x4C Wyvern Master (M),CantoPlusID
0x4D Wyvern Master (F),CantoPlusID
0x4E Wyvern Lord (M),CantoPlusID
0x4F Wyvern Lord (F),CantoPlusID
0x50 Malig Knight,CantoPlusID
0x51 Fire Mage (M),0x0
0x52 Fire Mage (F),0x0
0x53 Thunder Mage (M),0x0
0x54 Thunder Mage (F),0x0
0x55 Wind Mage (M),0x0
0x56 Wind Mage (F),0x0
0x57 Mage Fighter (M),0x0
0x58 Mage Fighter (F),0x0
0x59 Mage (M),0x0
0x5A Mage (F),0x0
0x5B Mage Knight (M),CantoPlusID
0x5C Mage Knight (F),CantoPlusID
0x5D Bard,0x0
0x5E Shaman,0x0
0x5F Sage (M),0x0
0x60 Sage (F),0x0
0x61 Gorgon,0x0
0x62 DON'T TOUCH THIS,0x0
0x63 Baron,GreatShieldID
0x64 Emperor,GreatShieldID
0x65 DON'T TOUCH THIS,0x0
0x66 DON'T TOUCH THIS,SummonID
0x67 Archer on Ballista,0x0
0x68 Archer on Iron Ballista,0x0
0x69 Archer on Killer Ballista,0x0
0x6A Ballista,0x0
0x6B Iron Ballista,0x0
0x6C Killer Ballista,0x0
0x6D Child,0x0
0x6E Child(F),0x0
0x6F Civilian,0x0
0x70 Civilian (F),0x0
0x71 Civilian,0x0
0x72 Civilian (F),0x0
0x73 Priest,0x0
0x74 Cleric,0x0
0x75 High Priest,RenewalID
0x76 High Priestess,RenewalID
0x77 Bishop (M),0x0
0x78 Bishop (F),0x0
0x79 Queen,CharismaID
0x7A Dark Mage (M),0x0
0x7B Dark Mage (F),0x0
0x7C Dark Bishop (M),PursuitID
0x7D Dark Bishop (F),PursuitID
0x7E Archbishop,0x0
0x7F Dark Prince,0x0
-0,0x0
-0,0x0
-0,ArmsthriftID
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,PursuitID
-0,PursuitID
-0,0x0
-0,0x0
-0,PursuitID
-0,CantoPlusID
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
